1,Arsenal,Gunners,Arsene Wenger,Peter Hill-Wood,1,19
2,Aston Villa,Villains,John Gregory,Doug Ellis,2,14
3,Blackburn Rovers,Rovers,Graeme Souness,John Williams,3,13
4,Bolton Wanderers,Trotters,Sam Allardyce,Phil Gartside,4,12
5,Charlton Athletic,Addicks,Alan Curbishley,Richard Murray,5,12
6,Chelsea,Blues,Claudio Ranieri,Ken Bates,6,17
7,Derby County,Rams,Jim Smith,Lionel Pickering,7,13
8,Everton,Toffees,Walter Smith,Bill Kenwright,8,14
9,Fulham,Cottagers,Jean Tigana,Mohamed Al-Fayed,9,13
10,Ipswich Town,Tractor Boys,George Burley,David Sheepshanks,10,13
11,Leeds United,Lilywhites,David O'Leary,Peter Ridsdale,11,17
12,Leicester City,Foxes,Peter Taylor,John Elsom,12,12
13,Liverpool,Reds,Gerard Houllier,David Moores,13,18
14,Manchester United,Red Devils,Alex Ferguson,Martin Edwards,14,20
15,Middlesbrough,Boro,Steve McClaren,Steve Gibson,15,14
16,Newcastle United,Magpies,Bobby Robson,Freddy Shepherd,16,16
17,Southampton,Saints,Stuart Gray,Rupert Lowe,17,13
18,Sunderland,Black Cats,Peter Reid,Bob Murray,18,13
19,Tottenham Hotspur,Spurs,Glenn Hoddle,Daniel Levy,19,15
20,West Ham,Hammers,Glenn Roeder,Terry Brown,20,15
