1,Afghanistan,Afghan
2,Albania,Albanian
3,Algeria,Algerian
4,United States of America,American
5,Andorra,Andorran
6,Angola,Angolan
7,Antigua & Barbuda,Antiguan
8,United Arab Emirates,Arabian
9,Argentina,Argentinian
10,Armenia,Armenia
11,Australia,Australian
12,Austria,Austrian
13,Azerbaijan,Azerbaijani
14,The Bahamas,Bahaman
15,Bahrain,Bahraini
16,Bangladesh,Bangladeshi
17,Barbados,Barbadon
18,Belarus,Belarussian
19,Belgium,Belgian
20,Belize,Belizean
21,Benin,Beninese
22,Bhutan,Bhutani
23,Guinea-Bissau,Bissau-Guinean
24,Bolivia,Bolivian
25,Bosnia & Herzegovina,Bosnian
26,Botswana,Botswanan
27,Brazil,Brazilian
28,Brunei,Bruneian
29,Bulgaria,Bulgarian
30,Burkina Faso,Burkinabé
31,Burma,Burmese
32,Burundi,Burundian
33,Cambodia,Cambodian
34,Cameroon,Cameroonian
35,Canada,Canadian
36,Cape Verde,Cape Verdean
37,Central African Republic,Central African
38,Chad,Chadian
39,Chile,Chilean
40,China,Chinese
41,Colombia,Colombian
42,Comoros,Comoran
43,Congo,Congolese
44,Costa Rica,Costa Rican
45,Croatia,Croatian
46,Cuba,Cuban
47,Cyprus,Cypriot
48,Czech Republic,Czech
49,Denmark,Danish
50,Djibouti,Djiboutian
51,Dominica,Dominican
52,Dominican Republic,Dominican
53,The Netherlands,Dutch
54,East Timor,East Timorese
55,Ecuador,Ecuadorian
56,Egypt,Egyptian
57,England,English
58,Equatorial Guinea,Equatorial Guinean
59,Eritrea,Eritrean
60,Estonia,Estonian
61,Ethiopia,Ethiopian
62,Fiji,Fijian
63,Philippines,Filippino
64,Finland,Finnish
65,France,French
66,Gabon,Gaboni
67,The Gambia,Gambian
68,Georgia,Georgian
69,Germany,German
70,Ghana,Ghanian
71,Greece,Greek
72,Grenada,Grenadian
73,Guatemala,Guatemalan
74,Guinea,Guinean
75,Guyana,Guyanese
76,Haiti,Haitian
77,Honduras,Honduran
78,Hungary,Hungarian
79,Kiribati,I-Kiribati
80,Iceland,Icelandic
81,India,Indian
82,Indonesia,Indonesian
83,Iran,Iranian
84,Iraq,Iraqi
85,Republic of Ireland,Irish
86,Israel,Israeli
87,Italy,Italian
88,Ivory Coast,Ivorian
89,Jamaica,Jamaican
90,Japan,Japanese
91,Jordan,Jordanian
92,Kazakhstan,Kazakhstani
93,Kenya,Kenyan
94,Saint Kitts & Nevis,Kittitian
95,Kosovo,Kosovan
96,Kuwait,Kuwaiti
97,Kyrgyzstan,Kyrgyzstani
98,Laos,Laotian
99,Latvia,Latvian
100,Lebanon,Lebanese
101,Lesotho,Lesothan
102,Liberia,Liberian
103,Libya,Libyan
104,Liechtenstein,Liechtensteiner
105,Lithuania,Lithuanian
106,Luxembourg,Luxembourger
107,Macedonia,Macedonian
108,Madagascar,Madagascan
109,Malawi,Malawian
110,Malaysia,Malaysian
111,Maldives,Maldivian
112,Mali,Malian
113,Malta,Maltese
114,Marshall Islands,Marshall Islander
115,Mauritania,Mauritanian
116,Mauritius,Mauritian
117,Mexico,Mexican
118,Micronesia,Micronesian
119,Moldova,Moldovan
120,Mongolia,Mongolian
121,Montenegro,Montenegran
122,Morocco,Moroccan
123,Mozambique,Mozambican
124,Namibia,Namibian
125,Nauru,Nauruan
126,Nepal,Nepalese
127,New Zealand,New Zealander
128,Vanuatu,Ni-Vanuatu
129,Nicaragua,Nicaraguan
130,Nigeria,Nigerian
131,Niger,Nigerien
132,North Korea,North Korean
133,Northern Ireland,Northern Irish
134,Norway,Norwegian
135,Oman,Omani
136,Pakistan,Pakistani
137,Palau,Palauan
138,Palestine,Palestinian
139,Panama,Panaman
140,Papua New Guinea,Papua New Guinean
141,Paraguay,Paraguayan
142,Peru,Peruvian
143,Poland,Polish
144,Portugal,Portuguese
145,Qatar,Qatari
146,Romania,Romanian
147,Russia,Russian
148,Rwanda,Rwandan
149,Saint Lucia,Saint Lucian
150,El Salvador,Salvadorian
151,San Marino,Sammarinese
152,Samoa,Samoan
153,São Tomé & Príncipe,São Toméan
154,Saudi Arabia,Saudi Arabian
155,Scotland,Scottish
156,Senegal,Senegalese
157,Serbia,Serbian
158,Seychelles,Seychellois
159,Sierra Leone,Sierra Leonan
160,Singapore,Singaporean
161,Slovakia,Slovakian
162,Slovenia,Slovenian
163,Solomon Islands,Solomon Islander
164,Somalia,Somalian
165,South Africa,South African
166,South Korea,South Korean
167,South Sudan,South Sudanese
168,Spain,Spanish
169,Sri Lanka,Sri Lankan
170,Sudan,Sudanese
171,Suriname,Surinamese
172,Swaziland,Swazi
173,Sweden,Swedish
174,Switzerland,Swiss
175,Syria,Syrian
176,Taiwan,Taiwanese
177,Tajikistan,Tajikistani
178,Tanzania,Tanzanian
179,Thailand,Thai
180,Trinidad & Tobago,Tobagan
181,Togo,Togolese
182,Tonga,Tongan
183,Tunisia,Tunisian
184,Turkey,Turkish
185,Turkmenistan,Turkmen
186,Tuvalu,Tuvaluan
187,Uganda,Ugandan
188,Ukraine,Ukrainian
189,Uruguay,Uruguayan
190,Uzbekistan,Uzbeki
191,Venezuela,Venezuelan
192,Vietnam,Vietnamese
193,Saint Vincent & The Grenadines,Vincentian
194,Wales,Welsh
195,Yemen,Yemeni
196,Zambia,Zambian
197,Zimbabwe,Zimbabwean
198,Zaire,Zairean
199,Martinique,Martinican
